Siren;Raison Sociale
489800805;(GROUPE) ASTEK
415750660;.ROBERTET SA
810992792;#NOM?
572015451;1001 VIES HABITAT
491945259;118 215 UKDA FRANCE
478343080;118 218 LE NUMERO
481364867;118 222 TELEDIS
453465379;118000
481748994;118400 SCE UNIVERSEL RENSEIG TELEPHON
495105967;17 NUMERIQUE
442292967;1FORMATIC'SERVICES
837560275;1GLOBAL OPERATIONS (FRANCE) SARL
495314619;2 F
401563093;2 F IMAGE
919753467;2CT
449509082;3 C NET
432105955;360NETWORKS(FRANCE)
542078555;3M FRANCE
790139398;440HZ
440256311;6 COM
477703623;720
842042491;8X8 UK LTD
419678826;9 TELECOM ENTREPRISE
414380139;9 TELECOM ENTREPRISES
413741976;9 TELECOM RESEAU
410334841;9 TELECOM SA
300796232;A A A LOCATOUR
408480598;A B C TELECOM
330996992;A R O P ASS RAYON OPERA PARIS
423843911;A TABLE
400292868;A TELECOM ENTREPRISES
432373637;A.CONSULTING
843925611;A.M.I AUDIT MANAGEMENT INTEGRATION
349580191;A.M.S.I
504310491;A.S.T.R.
418014510;A.V.L.O.
327411948;A.V.M. INFORMATIQUE
890041874;A2G
514580398;A5 NUMERIQUE
502990245;A6TELECOM FRANCE
509439337;A75 NETWORKS
400800694;AABAS INTERACTIVE
408221208;AB PLUS
813280781;AB SECURE
304814817;ABAC PAPETERIE COMMERCIALE
918585100;ABACLOUDA
452371503;ABAQUES
418048302;ABEILLE
331309120;ABEILLE ASSURANCES HOLDING
306522665;ABEILLE IARD & SANTE SOCIETE ANONYME D'ASSURANCES INCENDIE,  ACCIDENTS ET RISQUES DIVERS EN ABREGE ABEILLE IARD & SANTE
732020805;ABEILLE VIE
381589886;ABICOM
850479718;ABN AMRO BANK NV
423249507;ABOVENET FRANCE
418565404;ABSOLIGHT
949158406;ABSYS CONNECT
497578849;AC CONSEIL
753480029;ACCESS HEBERGEMENT
602036444;ACCOR
508680105;ACCORD ET ECRIT
448892737;ACENSI SAS
479828238;ACIPIA
351808977;ACM HABITAT (OPH MONTPELLIER MEDITERRANE
130030851;ACMOSS
451364889;ACN COMMUNICATIONS FRANCE
751983222;ACOR TELECOMS OUEST
780004099;ACORIS MUTUELLES
843960287;ACRIB
385107180;ACTA
421632274;ACTI PHONE SERVICE
451208292;ACTICALL FRANCE
850132911;ACTION CLA
492510136;ACTISTREAM
505007922;ACTIV' CONSULT' ING'
388929432;ACTUAL SYSTEMES
349428532;ADAMA FRANCE
775590920;ADAPEI 35
424218964;ADD-ON CONSULTING
394180376;ADD-ON MULTIMEDIA
998823504;ADECCO FRANCE
451148209;ADECCO GROUPE FRANCE
642033146;ADECCO HOLDING FRANCE
781343579;ADEI
433903283;ADELI
422266072;ADENIS
483632162;ADENIS SERVICES
421206079;ADEO SERVICES
085480069;ADIDAS FRANCE
323159715;ADISTA
432889665;ADISTA FINGERPRINT
403803117;ADN ACCESS DATA NETWORKS
813784261;ADN TELECOM
432123735;ADP GSI FRANCE
415295864;ADTECH FRANCE SNC
507387892;ADTIM
824577860;ADTIM FTTH
431544089;ADURONET NETWORKS SARL
431543867;ADURONET SARL
418093761;ADUX
428723266;ADVERLINE
480111509;ADVITAM PERFORMANCE
409375029;AEC INFORMATIQUE
753399104;AERA TELECOM
508627924;AEROLIA
778971424;AEROPORT BALE MULHOUSE
528194434;AEROPORT DE LA REUNION ROLAND GARROS
852559566;AEROPORT DE LILLE
552016628;AEROPORTS DE PARIS
775627391;AESIO MUTUELLE
444270326;AESIO SANTE MEDITERRANEE
789725108;AFFECTIVE
314360041;AFIBEL
799201876;AFONE INFRASTRUCTURE
411068737;AFONE PARTICIPATIONS
788354264;AFPI PAYS DE LA LOIRE
415085877;AFRIPA TELECOM FRANCE
800659336;AFRITELEC
433719812;AG2R
433082476;AGARIK SAS
180092116;AGCE FR SECURITE SANITAIRE ALIMENTS
385290309;AGCE L ENVIRON MAITRISE L ENERGIE
187512751;AGCE NAT SYSTEMES INFO PARTAGES SANTE
130014541;AGCE NAT TRAIT AUTOMATISE INFRACTIONS
479437378;AGCE UNION EUROPÉENNE PR CHEMINS DE FER
562104539;AGCO FRANCE S.A.S
794078436;AGENCE 73
411047285;AGENCE DE CERTIFICATION FERROVIAIRE
185911781;AGENCE DE L EAU ARTOIS PICARDIE
184503019;AGENCE DE L'EAU LOIRE-BRETAGNE
185703014;AGENCE DE L'EAU RHIN MEUSE
130006372;AGENCE DE SERVICES ET DE PAIEMENT
405138892;AGENCE FRANCE PRESTIGE
390199669;AGENCE NAT GESTION DECHETS RADIOACTIFS
326817442;AGENCE NATIONALE CHEQUES VACANCES
130002504;AGENCE NATIONALE DE LA RECHERCHE
130022338;AGENCE NATIONALE DE SANTE PUBLIQUE
130003262;AGENCE NATIONALE DES TITRES SECURISES
130024417;AGENCE NUMERIQUE SECURITE CIVILE
519322085;AGENCE PREMIUM
785423997;AGENCE SPATIALE EUROPEENNE
344816293;AGENCE TOURANGELLE ENQUETES RECHERCHES
844198796;AGGLO LA ROCHELLE THD
829848316;AGIL'IT
323379040;AGPM-GESTION
394705792;AGRI TERROIR COMMUNICATION
402947014;AGRO INNOVATION INTERNATIONAL
434969754;AGSI
414098426;AIC NETWORK
752616656;AIC TELECOMS
752862540;AIG EUROPE LIMITED
838136463;AIG EUROPE SA
314397712;AIGLE INTERNATIONAL
323650945;AIR AUSTRAL
552043002;AIR FRANCE - KLM
529218596;AIR LIQUIDE IT
552096281;AIR LIQUIDE SA ETU EXPLOIT PROCEDES GC
383474814;AIRBUS
778127613;AIRBUS ATLANTIC
393341516;AIRBUS DEFENCE AND SPACE SAS
325089589;AIRBUS DS GEO SA
393341532;AIRBUS FRANCE
341535094;AIRBUS GROUP SAS
352383715;AIRBUS HELICOPTERS
420916918;AIRBUS OPERATIONS
807437595;AIRCALL
823064704;AIRMOB
891196420;AIRMOB INFRA FULL
893395822;AIRNITY
812583912;AISNE THD
420403404;AKENA
432454718;AKINEA INTERNET
536550056;AKIOLIS GROUP
422950865;AKKA TECHNOLOGIES
353150261;AKKODIS DIGITAL SAS
391136108;AKKODIS FRANCE SAS
318732880;AKKODIS I&S SAS
818381626;AKKODIS SUPPORT PROCUREMENT SAS
533214656;AKSYS NETWORK
572075646;AKZO NOBEL COATINGS
501105498;ALBIANT - IT
922511522;ALCACOM
542019096;ALCATEL LUCENT
389534256;ALCATEL SUBMARINE NETWORKS
483395273;ALCATRAZ IT
345247621;ALDER HOLDINGS SAS
524266145;ALEPH ZERO LABS
487489197;ALERTE INFORMATIQUE
200035152;ALES AGGLOMERATION
430425314;ALGAM
685550659;ALGECO
423856343;ALIENOR.NET
482832086;ALIONIS
444613665;ALKANTE
817573637;ALL CALL
817461494;ALLEO
572201549;ALLEZ ENERGIES
343694493;ALLIA
538515040;ALLIANCE AUTOMOTIVE FRANCE
491859989;ALLIANCE AUTOMOTIVE GROUP
